name,rating,number of rating,tags,phone number,location,email
Upendra Handlooms Textiles ,2,1,"Handlooms, Sarees & Blouses",+91 9666675463,Boduppal,not mentioned
Arvind Store,4,1,"Garments, Pants, Ready Made Garments",+91 40 23030314,Chanda Nagar,arvindebo.chandanagar@gmail.com
Andhra Watch Company,0,0,"Lifestyle Accessories, Wrist Watches",+91 9000006021,Ameerpet,andhrawatchco@gmail.com
Style Lounge Men's Wear,0,0,"Belts & Wallets, Ethnic Wear, Footwear",+91 9885736456,Abids,shaiknaveed87@gmail.com
Fila Store Men's & Women's Wear,0,0,"Ethnic Wear, Footwear, Frames",+91 9347298422,Himayat Nagar,himayathnagar@prolineindia.com
Cobb Apparels Private Limited,0,0,"Garments, Jeans, Pants",+91 7661010960,Ameerpet,cobbameerpet@gmail.com
The Arvind Store,0,0,"Garments, Jeans, Lifestyle Accessories",+91 9603139789,Attapur,chandrashekar.custom@arvind.in
Twenty5 Foot Wear,0,0,"Footwear, Lifestyle Accessories, Sandals & Floaters",+91 9652020881,Banjara Hills,twenty5@hotmail.com
4 Me Clothing Store,0,0,"Garments, Jeans, Pants",+91 9553474842,Himayat Nagar,sunnyvs955@gmail.com
Denim Fashion Showroom,5,1,"Garments, Pants, Ready Made Garments",+91 8801473960,Kukatpally,shaikhfaizan0208@gmail.com
Wills Life Style Showroom,0,0,"Belts & Wallets, Garments, Jeans",+91 9642220754,Himayat Nagar,s.managr.hyderabad2@itc.in
Basics Life,0,0,"Belts & Wallets, Caps & Hats, Garments",+91 9030335125,Himayat Nagar,himayathnagar@hasbroclothing.com
Brij Textiles,0,0,"Dress Materials, Matching Centres, Tailoring Materials",+91 9849000630,Feelkhana,brijtextiles@yahoo.co.in
Kanishk Women's Wear,0,0,"Dress Materials, Garments, Ladies Dresses",+91 9849132392,Abids,sbkanish@yahoo.com
Deccan Fabrics (The Raymonds),0,0,"Garments, Jeans, Ladies Bags & Purses",+91 9640503335,Narayanguda,deccanfabrics@gmail.com
Usha International Ltd,0,0,"Sewing Machine Dealers, Tailors & Designers",+91 9346694310,Kukatpally,kukatpally_shop@ushainternational.com
Italian Leathers,0,0,"Belts & Wallets, Ladies Bags & Purses, Lifestyle Accessories",+91 9849437372,Ameerpet,italianleatherameerpet@yahoo.com
Van Heusen Store,4,1,"Ethnic Wear, Garments, Jeans",+91 8374474482,Himayat Nagar,mg.hydvh1764@madhura.adityabirla.com
Jockey Innerwear Shop,0,0,"Garments, Hosiery Store , Innerwear And Loungewear",+91 9849132392,Abids,jokey.hydebo@yahoo.co.in
Mym Ultimate Collection Showroom,0,0,"Belts & Wallets, Caps & Hats, Ethnic Wear",+91 9030777921,Karwan,mym.ultimatecollection1@gmail.com
Mufti Store,0,0,"Garments, Jeans, Pants",+91 9951223383,Himayat Nagar,corals.sanjeev@gmail.com
Kanishk Men's Wear,0,0,"Dress Materials, Ethnic Wear, Garments",+91 9849132392,Abids,jokey.hydebo@yahoo.co.in
Flora Mens Tailors,0,0,"Fashion Designers, Tailors, Tailors & Designers",+91 9949611837,Madinaguda,floramenj@gmail.com
Singer India Ltd,0,0,"Sewing Machine Dealers, Tailors & Designers",+91 9293116374,Mehdipatnam,mehdipatnamshop@singerindia.net
Kanishk Kids Wear,0,0,"Ethnic Wear, Garments, Jeans",+91 9849132392,Abids,Kanishfashion@gmail.com
Neerus Emporio,0,0,"Garments, Ladies Dresses, Sarees & Blouses",+91 40 66756666,Banjara Hills,elite@neerus.com
Kwality Textiles ,0,0,"Garments, Lifestyle Accessories, Suitings & Shirtings",+91 40 66362179,Abids,not mentioned
Pooja Sarees,0,0,"Garments, Sarees & Blouses",+91 9346467643,Abids,poojasareeshyderabad@gmail.com
Vijaya Lakshmi Silk House,0,0,"Garments, Sarees & Blouses",+91 8106361234,Abids,not mentioned
Kurtie Wala,0,0,"Garments, Ladies Dresses",+91 9298804984,Abids,not mentioned
Me n Moms Baby Store,0,0,Baby Store,+91 40 40125554,Kukatpally,babycareenterprises@gmail.com
Priti Sewing Machine Co. & Electronics,0,0,"Sewing Machine Dealers, Tailors & Designers",+91 40 27700679,Secunderabad,psmpradeep@gmail.com
Easwar Enterprises,0,0,"Sewing Machine Dealers, Tailors & Designers",+91 9440496322,Kukatpally,not mentioned
Feminas Collection,5,1,"Ethnic Wear, Garments, Sarees & Blouses",+91 9866312800,Shaikpet,feminascollection@gmail.com
New Born Shoppee,0,0,Baby Store,+91 40 23002997,Gachibowli,newbornshoppee@gmail.com
Kushals Clothing,0,0,"Children Wear, Garments",+91 9849015159,Abids,prashanth_singhvee@yahoo.com
Singer India Ltd,0,0,"Sewing Machine Dealers, Tailors & Designers",+91 9912503648,Secunderabad,rproadshop@singerindia.net
